3BFBD333   BC00A046
3BFFFE3B   3AFD2E64
BB8FC34D   BA8899F9
3BE8B5B6   BB4F57AD
3C2B5A2F   3B778532
3BAB865E   3B868FC7
3B8CA69D   BB8DD1DB
3C03AB82   3927A378
BBF41CC0   3B74E6D8
3AE6AA57   3BC67C0E
3A4826AC   BAF3C132
BB99638C   3AA2D510
39E8F964   BAA02B3F
BB8A0158   3B8A813A
BBDC6119   3C153261
BC3EA574   BC0BC232
3BE0A8E1   BC4B01B0
3B76EE88   BAF0F44C
BBBB688E   3B2FF13B
B98F0238   BBB1C416
BC150E8F   3C409DFF
BBC31940   3B13A0B7
3BD00886   39F512F0
BC2366C8   BB6B2976
3AAE18BD   3C0240FE
BB2E67AF   3BB66A48
3B6594A3   BB49455E
3A0EBBBE   BB511D64
3C045157   BA7D94B1
BB63791E   3B9BCE12
BB5140E1   3B8E6111
BBBC048C   BB743F24
B88AE100   BB7011CA
BBEA6D6F   BB94D102
BAE04BF2   BC1FE93F
BAFD9D68   3B1930FD
39A92450   3BB6FA2C
3999E418   BBF2980B
BC38806F   3C073DE6
3C08D312   BBA6613B
BA611D60   BBD64232
3BE4B78A   BBD320EA
BC5AF43A   BB132526
3BCD6D78   3C86F896
3B209D2A   3B71E6E1
BC1702BE   BBD18BB6
B9470D80   BC0971D8
BC2886CC   3B7E83AA
BBC9EC40   BB841B2E
BB263DB3   3C3EB2D8
BB00E78C   3C1AFBA5
3C3EE266   BB09EB91
3C75EB58   3BE24AB3
B98561E0   BB5AA88F
3C0DF832   BBC4E5E9
B923B628   BBFD38B8
BB6E39BB   BBE230FA
BB37A718   BB04EE1A
BC2B23D2   3BCF1429
3BB7829E   BA3774A0
BAFC46EC   3BDEC41F
3B404A78   3B326267
BBFD0892   BAA06AF4
BBA7CFBC   3A5A3598
BAE324AC   3B3083AC
BB843C3B   3B03201E
3B9A118E   BC51A2AE
3A369378   BB1A5455
BC20416F   3B1569F8
BB250F22   BB40B8AC
BB3FDDCB   B8F415E0
B911D1D0   3BB56889
3B5DC246   BC2D1B76
B9B5258C   BC0F7970
3C03052C   BB183B2B
3BBAAAE5   BC38EC4B
BB06E78E   3C05BF1C
3A86E010   3BEED53F
3BE7450D   3C786976
BB6187F4   BC336521
B9ACC3C2   BA7B9EDE
3871B7C0   BA741114
39E58BC8   BBF5AECB
3AF52648   3B742F35
BC3D27C2   BC5DC36A
BBFFFBC4   3C494956
3C0176DB   3BD13634
BBB375D4   BC5C8280
BBED9CBE   BB7F1EA2
3BB4F8E2   3B4D480B
3B437E9D   B9904D62
BB9B87A6   BB30FB42
BBEF3665   3AC69596
3BC01EF8   3C005960
39F65406   BBBB0968
3B8D7F4A   BA8620A5
BB5D1ABC   3B381D8A
3BA3A039   BC3ADAB2
BC0CB522   BBA753A4
3BF4D1AC   BAAA58AE
3C07C96F   3B42C910
BB8CC280   3AC98B52
BAC81958   3B617A64
